developer_id,event_time,activity_type,language,duration_minutes
D086,2026-07-01 09:00:00,coding,Other,80
D024,2026-07-01 09:00:00,coding,SQL,7
D004,2026-07-01 09:01:00,coding,JavaScript,64
D079,2026-07-01 09:03:00,coding,Other,75
D069,2026-07-01 09:04:00,coding,Other,26
D023,2026-07-01 09:04:00,coding,SQL,86
D006,2026-07-01 09:04:00,coding,SQL,65
D058,2026-07-01 09:05:00,debugging,JavaScript,24
D092,2026-07-01 09:05:00,debugging,SQL,86
D001,2026-07-01 09:05:00,file_edit,JavaScript,38
D074,2026-07-01 09:05:00,file_edit,Java,63
D056,2026-07-01 09:05:00,debugging,Java,54
D010,2026-07-01 09:06:00,debugging,Other,23
D050,2026-07-01 09:06:00,coding,Python,15
D044,2026-07-01 09:06:00,file_edit,SQL,86
D068,2026-07-01 09:06:00,debugging,TypeScript,28
D022,2026-07-01 09:06:00,coding,SQL,69
D019,2026-07-01 09:06:00,debugging,TypeScript,65
D036,2026-07-01 09:06:00,coding,TypeScript,44
D012,2026-07-01 09:07:00,coding,TypeScript,45
D049,2026-07-01 09:07:00,coding,Other,9
D015,2026-07-01 09:07:00,file_edit,TypeScript,49
D041,2026-07-01 09:08:00,coding,Java,57
D076,2026-07-01 09:08:00,debugging,Other,48
D026,2026-07-01 09:09:00,terminal,TypeScript,16
D077,2026-07-01 09:12:00,coding,SQL,61
D089,2026-07-01 09:12:00,coding,Python,89
D049,2026-07-01 09:12:00,coding,Other,4
D002,2026-07-01 09:12:00,file_edit,SQL,11
D035,2026-07-01 09:13:00,coding,JavaScript,36
D010,2026-07-01 09:14:00,debugging,Java,27
D068,2026-07-01 09:14:00,debugging,Java,17
D046,2026-07-01 09:16:00,coding,Other,41
D038,2026-07-01 09:17:00,coding,Python,17
D019,2026-07-01 09:17:00,coding,Java,54
D041,2026-07-01 09:17:00,coding,SQL,90
D005,2026-07-01 09:17:00,coding,Java,25
D066,2026-07-01 09:18:00,coding,JavaScript,80
D016,2026-07-01 09:19:00,coding,SQL,49
D043,2026-07-01 09:19:00,debugging,Python,7
