developer_id,github_activity,slack_activity,ide_activity,total_coding_minutes,total_activity
D066,999,998,974,45663,2971
D050,1028,988,1021,45949,3037
D046,999,1020,1025,47406,3044
D060,1054,985,987,44929,3026
D087,1062,1002,1021,45495,3085
D021,1002,932,1010,45705,2944
D099,966,1060,1009,45081,3035
D090,970,988,1024,45814,2982
D070,949,980,983,45074,2912
D030,942,1028,973,43642,2943
D098,1003,952,1082,48043,3037
D091,1013,991,989,44390,2993
D054,938,1002,985,44803,2925
D097,991,987,945,41753,2923
D052,965,1022,959,41423,2946
D007,975,960,993,43246,2928
D047,980,966,1006,44428,2952
D027,1021,1022,1025,46023,3068
D023,1025,960,996,45506,2981
D020,1000,1006,1045,47401,3051
D003,1009,986,982,45523,2977
D005,972,1022,977,43460,2971
D034,1008,983,1024,46873,3015
D045,1017,984,1007,46030,3008
D042,962,982,1014,45380,2958
D061,1019,983,1004,44838,3006
D076,982,1005,1024,46098,3011
D026,1021,1005,1017,46755,3043
D036,978,1023,995,43384,2996
D029,988,1011,951,43265,2950
D013,968,1019,956,43113,2943
D040,1032,1007,1020,46532,3059
D008,1024,997,979,43045,3000
D079,973,1002,1022,46536,2997
D078,1047,998,1047,49134,3092
D064,970,1010,1004,45429,2984
D037,985,970,1001,47069,2956
D006,972,985,981,43959,2938
D039,1047,989,973,44831,3009
D031,980,1019,971,44034,2970
D071,990,1058,986,45875,3034
D089,952,1021,979,45269,2952
D086,956,1035,968,44649,2959
D081,1035,1005,1076,48170,3116
D092,969,981,990,45779,2940
D004,965,1020,967,43554,2952
D055,973,977,1021,46603,2971
D063,906,1049,1036,46967,2991
D058,1089,982,975,44166,3046
D001,1025,964,955,44175,2944
D002,997,985,958,43508,2940
D033,1037,1012,1049,48763,3098
D043,950,1007,1015,45039,2972
D010,970,1006,955,42811,2931
D077,1040,1013,977,44380,3030
D049,988,1031,1035,48658,3054
D017,989,1006,968,42341,2963
D018,1026,988,1004,46067,3018
D096,996,1013,966,43820,2975
D083,963,1021,1010,44575,2994
D073,1001,1007,1010,47608,3018
D093,970,1011,1054,47856,3035
D025,977,1001,1013,45738,2991
D024,950,959,1008,46030,2917
D015,1041,977,950,43947,2968
D088,999,959,988,44956,2946
D038,982,1005,1060,47239,3047
D022,1046,1003,944,43682,2993
D048,989,994,1019,48182,3002
D085,998,1012,1020,46545,3030
D016,1018,989,1042,46368,3049
D041,991,1004,1000,46128,2995
D012,1029,990,1037,47681,3056
D011,1022,1000,960,43822,2982
D075,1037,1006,969,45194,3012
D065,1061,986,996,45341,3043
D062,1050,1020,986,44848,3056
D019,1020,1026,935,43006,2981
D057,969,976,1050,46935,2995
D035,956,1021,988,44575,2965
D068,1013,984,1018,46445,3015
D074,1021,1014,972,44682,3007
D051,998,1021,1052,47251,3071
D094,1004,976,1030,47664,3010
D059,993,975,982,45586,2950
D028,1012,1002,967,42839,2981
D044,965,1015,942,43530,2922
D100,1021,1029,996,44669,3046
D069,1072,1042,1036,48681,3150
D014,1024,977,1006,46243,3007
D067,980,1009,1023,47608,3012
D080,1057,1030,950,43720,3037
D072,983,930,1035,46734,2948
D095,1022,1010,1018,46115,3050
D032,1000,1032,1005,45904,3037
D053,1003,1018,1056,47989,3077
D082,1023,1035,990,44408,3048
D009,988,921,1010,45084,2919
D056,1021,968,992,44595,2981
D084,1014,1015,1000,44880,3029
