developer_id,github_activity,slack_activity,ide_activity,total_activity,ide_activity_count,total_coding_minutes,avg_activity_duration,activity_intensity
D081,1035,0,1076,2111,1076,48170,44.77,3187
D098,1003,0,1082,2085,1082,48043,44.4,3167
D069,1072,0,1036,2108,1036,48681,46.99,3144
D078,1047,0,1047,2094,1047,49134,46.93,3141
D033,1037,0,1049,2086,1049,48763,46.49,3135
D053,1003,0,1056,2059,1056,47989,45.44,3115
D087,1062,0,1021,2083,1021,45495,44.56,3104
D012,1029,1,1037,2067,1037,47681,45.98,3104
D016,1018,0,1042,2060,1042,46368,44.5,3102
D051,998,0,1052,2050,1052,47251,44.92,3102
D038,982,0,1060,2042,1060,47239,44.57,3102
D020,1000,0,1045,2045,1045,47401,45.36,3090
D093,970,0,1054,2024,1054,47856,45.4,3078
D040,1032,0,1020,2052,1020,46532,45.62,3072
D027,1021,0,1025,2046,1025,46023,44.9,3071
D050,1028,0,1021,2049,1021,45949,45.0,3070
D057,969,0,1050,2019,1050,46935,44.7,3069
D094,1004,1,1030,2035,1030,47664,46.28,3065
D095,1022,1,1018,2041,1018,46115,45.3,3059
D049,988,0,1035,2023,1035,48658,47.01,3058
D034,1008,0,1024,2032,1024,46873,45.77,3056
D026,1021,0,1017,2038,1017,46755,45.97,3055
D065,1061,0,996,2057,996,45341,45.52,3053
D072,983,0,1035,2018,1035,46734,45.15,3053
D068,1013,0,1018,2031,1018,46445,45.62,3049
D046,999,0,1025,2024,1025,47406,46.25,3049
D058,1089,0,975,2064,975,44166,45.3,3039
D085,998,0,1020,2018,1020,46545,45.63,3038
D014,1024,0,1006,2030,1006,46243,45.97,3036
D018,1026,0,1004,2030,1004,46067,45.88,3034
D045,1017,2,1007,2026,1007,46030,45.71,3033
D076,982,0,1024,2006,1024,46098,45.02,3030
D060,1054,0,987,2041,987,44929,45.52,3028
D061,1019,0,1004,2023,1004,44838,44.66,3027
D048,989,0,1019,2008,1019,48182,47.28,3027
D067,980,0,1023,2003,1023,47608,46.54,3026
D062,1050,0,986,2036,986,44848,45.48,3022
D021,1002,0,1010,2012,1010,45705,45.25,3022
D073,1001,0,1010,2011,1010,47608,47.14,3021
D090,970,0,1024,1994,1024,45814,44.74,3018
D023,1025,0,996,2021,996,45506,45.69,3017
D079,973,0,1022,1995,1022,46536,45.53,3017
D084,1014,1,1000,2015,1000,44880,44.88,3015
D055,973,0,1021,1994,1021,46603,45.64,3015
D100,1021,0,996,2017,996,44669,44.85,3013
D032,1000,0,1005,2005,1005,45904,45.68,3010
D009,988,0,1010,1998,1010,45084,44.64,3008
D056,1021,0,992,2013,992,44595,44.95,3005
D082,1023,0,990,2013,990,44408,44.86,3003
D025,977,0,1013,1990,1013,45738,45.15,3003
D077,1040,0,977,2017,977,44380,45.42,2994
D039,1047,0,973,2020,973,44831,46.08,2993
D047,980,0,1006,1986,1006,44428,44.16,2992
D091,1013,0,989,2002,989,44390,44.88,2991
D041,991,0,1000,1991,1000,46128,46.13,2991
D042,962,1,1014,1977,1014,45380,44.75,2991
D037,985,0,1001,1986,1001,47069,47.02,2987
D099,966,0,1009,1975,1009,45081,44.68,2984
D083,963,0,1010,1973,1010,44575,44.13,2983
D008,1024,0,979,2003,979,43045,43.97,2982
D043,950,0,1015,1965,1015,45039,44.37,2980
D064,970,0,1004,1974,1004,45429,45.25,2978
D063,906,0,1036,1942,1036,46967,45.33,2978
D075,1037,0,969,2006,969,45194,46.64,2975
D088,999,0,988,1987,988,44956,45.5,2975
D003,1009,0,982,1991,982,45523,46.36,2973
D036,978,0,995,1973,995,43384,43.6,2968
D024,950,0,1008,1958,1008,46030,45.66,2966
D074,1021,0,972,1993,972,44682,45.97,2965
D071,990,0,986,1976,986,45875,46.53,2962
D007,975,0,993,1968,993,43246,43.55,2961
D080,1057,0,950,2007,950,43720,46.02,2957
D059,993,0,982,1975,982,45586,46.42,2957
D092,969,0,990,1959,990,45779,46.24,2949
D066,999,0,974,1973,974,45663,46.88,2947
D028,1012,0,967,1979,967,42839,44.3,2946
D011,1022,0,960,1982,960,43822,45.65,2942
D015,1041,0,950,1991,950,43947,46.26,2941
D001,1025,0,955,1980,955,44175,46.26,2935
D022,1046,0,944,1990,944,43682,46.27,2934
D006,972,0,981,1953,981,43959,44.81,2934
D035,956,0,988,1944,988,44575,45.12,2932
D096,996,0,966,1962,966,43820,45.36,2928
D005,972,1,977,1950,977,43460,44.48,2927
D017,989,0,968,1957,968,42341,43.74,2925
D031,980,0,971,1951,971,44034,45.35,2922
D070,949,0,983,1932,983,45074,45.85,2915
D002,997,0,958,1955,958,43508,45.42,2913
D089,952,0,979,1931,979,45269,46.24,2910
D054,938,1,985,1924,985,44803,45.49,2909
D004,965,1,967,1933,967,43554,45.04,2900
D086,956,0,968,1924,968,44649,46.12,2892
D019,1020,0,935,1955,935,43006,46.0,2890
D029,988,0,951,1939,951,43265,45.49,2890
D030,942,0,973,1915,973,43642,44.85,2888
D052,965,0,959,1924,959,41423,43.19,2883
D097,991,0,945,1936,945,41753,44.18,2881
D010,970,0,955,1925,955,42811,44.83,2880
D013,968,0,956,1924,956,43113,45.1,2880
D044,965,0,942,1907,942,43530,46.21,2849
